Feature	1R	2R	3R	4R	5R	6R	RA	RAn
A/N/P-Rhizobium	0.07229862058306477	0.06730721549795388	0.0419397198842219	0.03831761232759446	0.020233103567169713	0.031401367512546484	0.045249606562091864	1.0
A/N/P-Rhizobium|29e17d255033ffe7cf3809696cf5806a	0.027199290154306055	0.00024316335767601645	0.0027223056606297275	5.184839529216567e-05	0.0001728328126646206	0.00011350789061926236	0.045249606562091864	0.06932177247560893
A/N/P-Rhizobium|cbf8930fe19434d51a170a71f31039be	0.020842209374318178	0.0037623683550718906	0.0029598250293130747	0.005420583010504094	0.0014035764000240195	0.0012863687312914005	0.045249606562091864	0.08929504078396222
A/N/P-Rhizobium|2462a3af6abc07f465314d7d189ea6a9	0.0007237228343245718	0.022425765529730732	0.007650448049413113	0.006027847470824864	0.0036421521161492656	0.0016149667038471687	0.045249606562091864	0.11404920100860422
A/N/P-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	0.005464135996237504	0.016284418697520318	0.016550280905354747	0.012687821848002597	0.005598925995187307	0.005338352641217899	0.045249606562091864	0.19066398591029193
A/N/P-Rhizobium|7db384db1541d18e44802bf4fdd2fbc8	0.00011056445249213472	0.0007088428141059722	0.00010047038407087733	0.0	0.001037259992663505	0.010595268055481142	0.045249606562091864	0.0
Thermomonas_unc_b	0.04292013697441677	4.395870080059789e-05	0.00011702065414545666	0.0	0.0	0.0	0.007180186054893803	1.0
Flavobacterium	0.0402495472708254	0.010759902071784096	0.02581707304421812	0.006671386383706657	0.011937826155185205	0.007798849001307418	0.017205763987837817	1.0
Flavobacterium|3676d0b134f3d1f7a9d6b6b7b32831e8	0.011664406075949554	0.0010366306174436632	0.000857440128359311	0.0	0.0	0.0	0.017205763987837817	0.0
Flavobacterium|d34cdc0fc550fa0bb0b6bab13fd53d82	2.1293358601452214e-05	0.0017940158249679728	0.0026952006394329354	0.0010171869947572534	0.006818846661350094	0.004391511112743397	0.017205763987837817	0.03545624216680083
Microbacteriaceae	0.02034421338809528	0.002043765793798277	0.004515789041444024	0.001984217499333334	0.009027356506204301	0.006524379986674457	0.0074066203692582785	1.0
Microbacteriaceae|4469856c323a9c098f4aaf7f9ce0c02d	0.006510405944816131	9.129036242273878e-05	0.0	0.0	3.620048734906094e-05	0.0	0.0074066203692582785	0.0
Microbacteriaceae|df53aa6b71b33a336c001cf42d387956	0.0005520977225531085	0.00037666542471955227	0.0014673252451509846	0.001487161206385484	0.008658110932622348	0.0061711563529241766	0.0074066203692582785	0.3194189686689613
Acidovorax	0.01807584462107292	0.004224087341461962	0.00313378672922039	0.00792382169181638	0.0007359500173486485	1.1459741926611811e-05	0.005684158357141152	1.0
Acidovorax|7aa6047ae866315609afcbec4ba3c78d	0.00790327219878652	0.0024104402948095416	0.00021311899651398221	0.00036430032945259885	8.009236577048983e-05	0.0	0.005684158357141152	0.0
Acidovorax|5e97870415986be8b5a1beccbdf3f369	0.00491392524466343	0.0016078580297872473	0.002638192199062878	0.007110537216115718	0.0006353164882930546	1.0844340338777188e-05	0.005684158357141152	0.2570035343138017
Massilia_unc	0.014419660590711356	0.0	0.00010268371216288568	0.0	0.0	0.0	0.0024203907171457067	1.0
Rhodanobacter	0.013297273970568398	0.00013553285115179854	6.9585338683652e-05	0.0	0.0	0.0	0.002250398693400642	1.0
Xanthobacteraceae	0.009110737805248108	0.0005844191097260842	0.0010494384969437298	0.0032119618619711123	0.001059019002462258	0.0016099661496444785	0.0027709237376659615	1.0
Xanthobacteraceae|42422db48756ad7f3f76fcd600908b23	0.00565886657092362	0.0	0.00037720725180941556	0.0	6.43709236537853e-05	0.0	0.0027709237376659615	0.19530405086615524
Xanthobacteraceae|1a92b8af7e955ca031a6a58f52e8917c	0.0	0.0005216964912435617	0.00011275360015386243	0.0012552231722952126	0.0005885061637404137	0.0010677672942002092	0.0027709237376659615	0.0
Methylophilus_unc	0.011340172073200325	0.04469077940337845	0.018350032928395876	0.0043727174394161735	0.004659989086204542	0.0006052606350691336	0.014003158594277415	1.0
Rhizobiaceae	0.005688004297647725	0.014683267639035531	0.008567302897624083	0.012232896044596741	0.0086016915421612	0.01015957542690507	0.009988789641328393	1.0
Rhizobiaceae|d1cdc577bbdbe6501bdfe22763e73656	0.0006814436000429752	0.008419345945360403	0.004789579890799004	0.003324519548413961	0.0021526984906801	0.0010373861342146927	0.009988789641328393	0.3077437943388541
Rhizobiaceae|52d5343817ac8543329b9d69bdb37dc4	0.0	0.00210666095229108	0.0006065475338238673	0.003057162851058004	0.0010749010779326571	0.0012519678679537728	0.009988789641328393	0.09219644586097228
Rhizobiaceae|2df7a1c09b90b7ff40dc5c9ab4577b38	0.0	0.00013323190517326556	0.0004454548159593011	0.0018125582997401636	0.0018572684036279822	0.002595764661211912	0.009988789641328393	0.07025311379342788
Rhizobiaceae|ee5c7151d3880f32b73150755a70d28e	0.0	4.6289006010369005e-05	0.0001986123502746781	0.0005586922218845453	0.0008427657931516248	0.001186472523898808	0.009988789641328393	0.0
Cellvibrio_unc_b	8.720258072951608e-05	0.004919812551241572	0.003522130793400919	0.004736830095541139	0.0005128192509433087	0.00030450092105984615	0.0023472160321527167	1.0
Fluviicola	0.0002548607283216916	0.0005247910673243896	0.00025840356512968067	0.00029006705213133264	2.0218564866869644e-05	0.0	0.0002247234962956607	1.0
Fluviicola|459a36763180e98c4cdf1f1f2fe5a84c	0.00012764367828254757	0.0	0.0	0.0	0.0	0.0	0.0002247234962956607	0.0
Fluviicola|840afa099198a9e26be408618cc55ce8	0.0	0.0005132456700514502	0.00024596753940110406	0.00028361201932529737	1.9723399889684704e-05	0.0	0.0002247234962956607	0.7658777903207464
Sphingobium	0.02713005788803894	0.08892750900398662	0.14955337751211065	0.11763595271626508	0.11128317516849272	0.03989931520296698	0.08907156458197685	1.0
Sphingobium|a3378306aac4ba125d41130ee38e1346	0.021229028898513545	0.06334416161641057	0.11279929373919433	0.07120920320568386	0.07589497899924211	0.02048670476883955	0.08907156458197685	0.5559202639895647
Sphingobium|6f61f10851c21790134347c18c6f9fb6	0.0024074510299156	0.023966937390411006	0.03327181390894569	0.041928055249995905	0.03212399570804142	0.019119449360650152	0.08907156458197685	0.0
Rhodocyclaceae_unc	4.102143369910779e-05	0.0007209552556915285	0.0032267489387323837	0.0019720714291308187	0.00061421321490822	3.3116745379450314e-05	0.001101354502923585	1.0
Geminicoccaceae_unc	0.0	0.00037255366219333806	0.0006563213044969154	0.00040302925020831447	0.00032919262937045133	0.00022351282302673044	0.00033076827821595825	1.0
Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d	0.0	0.0003725536621933381	0.0006197475352042521	0.00036737753688883434	0.00030381923902742506	0.0001991608714326803	0.00033076827821595825	0.9345286309980104
Geminicoccaceae_unc|5bb36746f4c81a332304c5ad192cc1d1	0.0	0.0	3.6573769292663335e-05	3.565171331948011e-05	2.5373390343026296e-05	2.4351951594050124e-05	0.00033076827821595825	0.0
Ohtaekwangia	4.418171053910522e-05	0.0011902364166566151	0.002069608818898466	0.008628687329613947	0.005871073777101218	0.005155523174201895	0.003826551871168541	1.0
Saccharimonadales	0.004262294130206066	0.02082734386528463	0.008110204664034613	0.026039953498042313	0.038144586540311706	0.029247529291948172	0.021105318664971253	1.0
Saccharimonadales|3c6fa473b90e96415d1b7abd9cc5871f	0.0	0.0015931487044662362	0.001315375900853359	0.006866717602485859	0.002306480387099767	0.002639323600561693	0.021105318664971253	0.0
Saccharimonadales|51f1cf0488c1b91d233f6d78902aec08	0.0	0.009811595515820863	0.0012170439769841862	0.006609873084650981	0.02148037214789545	0.009766250898143276	0.021105318664971253	0.3052794667034863
Pseudoxanthomonas mexicana	0.0015479399920850273	0.007286205748849457	0.005728579758631381	0.005976601177253255	0.027071082282147337	0.02466811021221263	0.01204641986186318	1.0
Pseudoxanthomonas_mexicana|9a399a205190a5b1d33007d0820ea83a	0.0003910779120735271	0.003932831586827699	0.001824792210412685	0.004064730816151111	0.015196437191943005	0.00809321366875797	0.01204641986186318	0.0
Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd	0.0002659663876912448	0.0022245268528553394	0.0025943720123438973	0.0019118703611021486	0.010909763672766842	0.01598205217456617	0.01204641986186318	0.009941037859557376
Agromyces	3.4184528082589786e-05	0.00234993135685104	0.0012115568013929949	0.0027541414657446073	0.004592728321730042	0.0038920478178707425	0.0024724317152786694	1.0
Agromyces|8a030e02c136af0dc6c5aeb1a9fa9c80	0.0	0.0	3.6534685116682665e-05	0.0006012537547461185	0.0017416026981392737	0.0007205554957010825	0.0024724317152786694	0.0
Agromyces|ced4054c3dd8b973166877aab046c7cb	3.4184528082589786e-05	0.0020248156535494603	0.001026591996541805	0.0009425269991857918	0.0012749196112255901	0.0020632817776220468	0.0024724317152786694	0.363570812787901
Lechevalieria	8.39452500243e-05	0.004343514123277	0.002740200434590898	0.0070227430313998425	0.029505867653456922	0.03789351787260094	0.01359829806089165	1.0
Lechevalieria|5d982a35e65e0e76c0c646834b10e693	0.0	0.00216823132262638	0.0012906071573248155	0.0025383231456933323	0.015237088998272292	0.007484944732442036	0.01359829806089165	0.0
Lechevalieria|26ddc57569989db666019c33f7ec7180	8.39452500243e-05	0.0021752828006506193	0.0014495932772660774	0.0044844198857065115	0.01426877865518464	0.030408573140158917	0.01359829806089165	0.4568020950422304
Pseudomonas	0.006787153153619894	0.011965047582958197	0.007853209468022503	0.007092751248613135	0.004875121799673535	0.029139350630455457	0.011285438980557122	1.0
Pseudomonas|1422b36fc3008e0a41f108d963ac41c9	6.405298842776007e-05	0.004120989495765053	0.0035199900234964155	0.0031231185640578332	0.0012793995044053624	0.00034365916486507955	0.011285438980557122	0.0
Pseudomonas|108751f28645926db7b461f27b822162	0.0009677480876209554	0.0	5.784658476808089e-05	0.0	0.0005713132260302149	0.023833439346255883	0.011285438980557122	0.2348679518325477
Microbacterium	0.0031691667691027214	0.018032100672480567	0.018408348478212776	0.02227342566250161	0.025278709381384143	0.025447115366467037	0.01876814438835814	1.0
D05-2_unc_b	0.0	0.0034673421205699694	0.004598384659023236	0.013200994979102022	0.006956441006524237	0.014152703848392652	0.00706264443560202	1.0
D05-2_unc_b|52f2f356b67f2388990f61e80c06da88	0.0	0.0012988158465211755	0.0018133758136432644	0.004217931934139583	0.0021742176096732502	0.003941545688826688	0.00706264443560202	0.0
D05-2_unc_b|5a73d199450cb33ef9d6046c996c78de	0.0	0.001190656753768903	0.0014261598028767017	0.006066026404447126	0.002786902486573356	0.007567004992318777	0.00706264443560202	0.19325501093108702
Pirellula sp	0.0	0.0006740822981218301	0.0012504222276232524	0.004793657475712762	0.005243253212678787	0.01245266179447535	0.004069012834768663	1.0
Altererythrobacter	7.7726618517792e-05	0.007079122475288411	0.004696439488134598	0.004648704585375254	0.00804558842230566	0.0087665436214619	0.00555235420184727	1.0
Altererythrobacter|86bae8e019b63bd179b927a8cb13544e	0.0	0.00029654843409533335	0.0008776666097821599	0.0009891336464934524	0.003473352208752581	0.00249769660346695	0.00555235420184727	0.02372782849550804
Altererythrobacter|a92d3b7d8f8137e137dd7bc8306560ef	0.0	0.0019396355004454927	0.0006038168775395402	0.0014571183930773707	0.001180159212405177	0.00234168627242814	0.00555235420184727	0.0
Steroidobacter	0.0	0.0003929620063138845	0.00015112839487818554	0.00042252525314677946	0.0008918963415548564	0.008434728290689046	0.001715540047763792	1.0
Steroidobacter|81e1dd034dafec59fdc0ead1910ac6fe	0.0	0.00028795282730996225	7.858484412696167e-05	0.00027000986124840905	0.0004687151720128462	0.006198455401307499	0.001715540047763792	0.7050277714735249
Steroidobacter|26ba953b0d12575f5ed331794e3d1fce	0.0	0.0	0.0	0.0	3.627350220663806e-05	0.00012203918284853083	0.001715540047763792	0.0
SH-PL14_unc_b	0.0007002530854220722	0.0019208419915917433	0.0035161298660353396	0.005538963971683595	0.005873656462194184	0.0061066742812337736	0.003942753276360118	1.0
Ferrovibrio_unc_b	0.00024525588779566315	0.000533076784392012	0.0004190107887107376	0.0010819635435079192	0.0038800070610266134	0.004121924215836444	0.0017135397135448983	1.0
Ferrovibrio_unc_b|fa03ee7e41290f6e1f65c9c5d3cc57cb	0.0	0.00017620993910012555	0.0	0.0004598238268592385	0.0022139092834949103	0.0020511749781721394	0.0017135397135448983	0.09024095921574177
Ferrovibrio_unc_b|c5556cd6f0d4e4411a65901db41388f6	0.0	0.000300093101391314	0.00020334245161585733	0.0006007139326319845	0.001431793414604532	0.0018315094086378489	0.0017135397135448983	0.0
Ilumatobacter	0.0	0.0006737885138709396	0.0007412560517923122	0.0025480829538570404	0.0027235395618908412	0.004086527326988609	0.0017955324013999572	1.0
Pir4 lineage_unc_b	0.0	0.0003711937889701621	0.0006602511362434787	0.0019944999345270853	0.0021716462524568937	0.0037713289079548355	0.0014948200033587423	1.0
Dongia	0.00016141103146061916	0.00041645611373753675	0.0002918946539219124	0.0018118316408613881	0.0030445083822676256	0.0036868118880731267	0.0015688189517203681	1.0
Dongia|220de03a9f920f04b14be2a7547283e9	0.0	3.090712409210322e-05	0.0	0.0005158649037597363	0.0004815496747125844	0.0002842240250048966	0.0015688189517203681	0.0
Dongia|206abb8c709bd46d9b1760581ea945f3	0.0	0.00011080038208887334	0.0002255778585437001	0.0012453529379368273	0.001972032944999327	0.0015545868536517029	0.0015688189517203681	0.4685966437244639
Reyranellaceae_unc	0.0	0.00042411561489293315	0.00033232411379652	0.001506435353374774	0.0009472331901747682	0.0017654378605557882	0.0008292576887991306	1.0
Alphaproteobacteria_unc	0.0	5.5871444104918e-05	6.0728411030340005e-05	0.0005820050805003669	0.000619797851731472	0.0011260735415844613	0.0004074127214919264	1.0
Alphaproteobacteria_unc|14189f6ff79e8fc1ac0f53847e350acf	0.0	0.0005346464485183851	0.0001257357506031389	0.00044819200535870115	0.00011239067468251241	0.00010015525513072531	0.0004074127214919264	0.0
Alphaproteobacteria_unc|6670bb3f8eb1d9c896b6a6ff999e0a44	0.0	5.5871444104918e-05	4.3692926115261886e-05	0.0004991481743772416	0.00047483534668469734	0.0009816251827457594	0.0004074127214919264	0.6534462917684194
